Date,Open,High,Low,Close
04 Sep 2020,4722.4,4789.75,4702.4,4720.1
03 Sep 2020,4775.4,4824.15,4770.7,4816.05
02 Sep 2020,4700,4767.55,4662.8,4753.9
01 Sep 2020,4658.65,4727.65,4580.8,4683.3
31 Aug 2020,4868.85,4890.2,4608.6,4636.95
28 Aug 2020,4823.85,4862.05,4817.85,4829.55
27 Aug 2020,4817.3,4828.1,4781.55,4788.1
26 Aug 2020,4777.65,4805.2,4770.1,4787.7
25 Aug 2020,4777.3,4797.4,4732.5,4756.4
24 Aug 2020,4739.6,4767.2,4734.2,4741.1
21 Aug 2020,4744.45,4763.2,4705.3,4711.05
20 Aug 2020,4625.45,4714.6,4608.3,4703
19 Aug 2020,4657.4,4683.5,4650.25,4660
18 Aug 2020,4580.3,4640.75,4575.4,4633.65
17 Aug 2020,4581.5,4585.4,4529.15,4568.2
14 Aug 2020,4623.7,4637.2,4501.6,4537.8
13 Aug 2020,4532.5,4612.7,4529.05,4604.6
12 Aug 2020,4472.2,4516.8,4450.25,4505.65
11 Aug 2020,4502.2,4510.25,4473.8,4480.15
10 Aug 2020,4480.2,4495.35,4453.35,4478.5
07 Aug 2020,4364.2,4447.05,4352.25,4437.75
06 Aug 2020,4339.25,4365.7,4321.2,4356.4
05 Aug 2020,4321.6,4354.1,4295.65,4318.55
04 Aug 2020,4253.7,4294.6,4250.9,4288.65
03 Aug 2020,4250.75,4286.25,4227.3,4231.3
31 Jul 2020,4269.85,4278.9,4225.2,4249.05
30 Jul 2020,4319.9,4332.05,4244.8,4256.95
29 Jul 2020,4290.85,4346.7,4280.6,4305.85
28 Jul 2020,4231.2,4285,4227.25,4280.65
27 Jul 2020,4295.25,4297.25,4216.95,4224.95
24 Jul 2020,4296.5,4324.6,4251.3,4286.2
23 Jul 2020,4300.5,4329.1,4290.3,4319.65
22 Jul 2020,4291.2,4329.6,4252.2,4288.8
21 Jul 2020,4313.4,4329.05,4276.6,4283.1
20 Jul 2020,4277.7,4301.3,4265.85,4282.65
17 Jul 2020,4189.85,4255.6,4186.5,4248.15
16 Jul 2020,4163.45,4183.4,4083.85,4172.15
15 Jul 2020,4211.75,4225.45,4127.45,4141.4
14 Jul 2020,4234.2,4235.85,4158.6,4180.15
13 Jul 2020,4301,4318.3,4240.05,4256.3
10 Jul 2020,4289.55,4323.95,4238.3,4266.05
09 Jul 2020,4306.7,4321.3,4287.1,4308.1
