"","p","q","P","Q","AIC","BIC","AICc"
"119","0","3","1","4","-6.22164487133769","-6.08524025805858","-5.82712432339249"
"120","0","3","1","5","-6.2213627955459","-6.07446551970685","-5.7268573010404"
"121","0","3","2","0","-6.2213627955459","-6.07446551970685","-5.7268573010404"
"122","0","3","2","1","-6.21909582866508","-6.0931838779459","-5.99021299487762"
"123","0","3","2","2","-6.21433840234136","-6.07793378906224","-5.90832747337961"
"124","0","3","2","3","-6.22031575570402","-6.07341847986498","-5.82579520775882"
"125","0","3","2","4","-6.21535200615132","-6.05796206775234","-5.72084651164583"
"126","0","3","2","5","-6.21029948617238","-6.04241688521347","-5.60423888011177"
"127","0","3","3","0","-6.21029948617238","-6.04241688521347","-5.60423888011177"
"128","0","3","3","1","-6.21575326090126","-6.06885598506221","-5.90974233193951"
"129","0","3","3","2","-6.21126120768275","-6.05387126928378","-5.81674065973755"
"130","0","3","3","3","-6.20825776260702","-6.04037516164811","-5.71375226810152"
"131","0","3","3","4","-6.22678309575921","-6.04840783224036","-5.6207224896986"
"132","0","3","3","5","-6.22324897258999","-6.03438104651121","-5.49396720463418"
"133","0","3","4","0","-6.22324897258999","-6.03438104651121","-5.49396720463418"
"134","0","3","4","1","-6.21448898750942","-6.04660638655051","-5.81996843956422"
"135","0","3","4","2","-6.2093573452761","-6.03098208175726","-5.7148518507706"
"136","0","3","4","3","-6.27330786980141","-6.08443994372263","-5.6672472637408"
"137","0","3","4","4","-6.26461826557656","-6.06525767693785","-5.53533649762076"
"138","0","3","4","5","-6.27058992068844","-6.0607366694898","-5.4063239927106"
"139","0","3","5","0","-6.27058992068844","-6.0607366694898","-5.4063239927106"
"140","0","3","5","1","-6.20171938968068","-6.0128514636019","-5.70721389517518"
"141","0","3","5","2","-6.19671035881051","-5.9973497701718","-5.5906497527499"
"142","0","3","5","3","-6.24997732646371","-6.04012407526507","-5.52069555850791"
"143","0","3","5","4","-6.24831576611643","-6.02796985235786","-5.38404983813859"
