,p,q,P,Q,AIC,BIC,AICc
128,0,3,3,1,-6.33386507474209,-6.21363268478595,-6.02785414578034
129,0,3,3,2,-6.33176357296327,-6.2006009657384,-5.93724302501806
130,0,3,3,3,-6.33483140718905,-6.19273858269544,-5.84032591268355
131,0,3,3,4,-6.32744041530999,-6.17441737354763,-5.72137980924938
132,0,3,3,5,-6.3280685801327,-6.16411532110161,-5.5987868121769
133,0,3,4,0,-6.33337544563107,-6.21314305567494,-6.02736451666932
134,0,3,4,1,-6.32008125691282,-6.18891864968795,-5.92556070896761
135,0,3,4,2,-6.32047972865621,-6.1783869041626,-5.82597423415072
136,0,3,4,3,-6.32856272347125,-6.1755396817089,-5.72250211741064
137,0,3,4,4,-6.32382581098834,-6.15987255195725,-5.59454404303254
138,0,3,4,5,-6.32481711109437,-6.14993363479454,-5.46055118311653
139,0,3,5,0,-6.330370276842,-6.19920766961713,-5.9358497288968
140,0,3,5,1,-6.31432340798786,-6.17223058349424,-5.81981791348236
141,0,3,5,2,-6.31496278628934,-6.16193974452698,-5.70890218022873
142,0,3,5,3,-6.32294384090123,-6.15899058187014,-5.59366207294543
143,0,3,5,4,-6.31799708829111,-6.14311361199128,-5.45373116031327
144,0,3,5,5,-6.3191673922269,-6.13335369865833,-5.30805628111579
145,0,4,0,0,-6.3191673922269,-6.13335369865833,-5.30805628111579
146,0,4,0,1,-6.3191673922269,-6.13335369865833,-5.30805628111579
147,0,4,0,2,-6.26396832098483,-6.15466614829744,-6.03508548719736
148,0,4,0,3,-6.25824851939961,-6.13801612944347,-5.95223759043786
149,0,4,0,4,-6.25250857794003,-6.12134597071516,-5.85798802999483
150,0,4,0,5,-6.24707038173885,-6.10497755724524,-5.75256488723336
151,0,4,1,0,-6.29993559719084,-6.20156364177218,-6.13689211892997
152,0,4,1,1,-6.33003171088357,-6.22072953819618,-6.10114887709611
153,0,4,1,2,-6.32812068637219,-6.20788829641606,-6.02210975741044
154,0,4,1,3,-6.33338292842139,-6.20222032119652,-5.93886238047618
155,0,4,1,4,-6.32885878818979,-6.18676596369618,-5.8343532936843
156,0,4,1,5,-6.32705502659869,-6.17403198483634,-5.72099442053809
157,0,4,2,0,-6.30884932179365,-6.19954714910626,-6.07996648800619
158,0,4,2,1,-6.32498773845663,-6.20475534850049,-6.01897680949488
159,0,4,2,2,-6.3234401977517,-6.19227759052683,-5.9289196498065
160,0,4,2,3,-6.32831478001544,-6.18622195552182,-5.83380928550994
161,0,4,2,4,-6.32500766878528,-6.17198462702293,-5.71894706272468
162,0,4,2,5,-6.32378749302351,-6.15983423399241,-5.5945057250677
163,0,4,3,0,-6.31562004851778,-6.19538765856165,-6.00960911955603
164,0,4,3,1,-6.32056859673402,-6.18940598950915,-5.92604804878882
165,0,4,3,2,-6.31825552770377,-6.17616270321016,-5.82375003319828
166,0,4,3,3,-6.32880738596067,-6.17578434419832,-5.72274677990006
167,0,4,3,4,-6.32209164511879,-6.1581383860877,-5.59280987716299
168,0,4,3,5,-6.32256749851579,-6.14768402221596,-5.45830157053795
169,0,4,4,0,-6.32813851022698,-6.19697590300211,-5.93361796228178
170,0,4,4,1,-6.31491782070868,-6.17282499621507,-5.82041232620319
171,0,4,4,2,-6.3151597458361,-6.16213670407374,-5.70909913977549
172,0,4,4,3,-6.32315767262944,-6.15920441359834,-5.59387590467363
173,0,4,4,4,-6.31834722968864,-6.14346375338881,-5.4540813017108
174,0,4,4,5,-6.31933725274063,-6.13352355917205,-5.30822614162951
175,0,4,5,0,-6.3251180771169,-6.18302525262329,-5.83061258261141
176,0,4,5,1,-6.30911573638602,-6.15609269462367,-5.70305513032542
177,0,4,5,2,-6.3096480261737,-6.14569476714261,-5.5803662582179
178,0,4,5,3,-6.31751760361597,-6.14263412731614,-5.45325167563813
179,0,4,5,4,-6.31251496741892,-6.12670127385035,-5.30140385630781
180,0,4,5,5,-6.31368753446084,-6.11694362362353,-5.14377109992045
181,0,5,0,0,-6.31368753446084,-6.11694362362353,-5.14377109992045
182,0,5,0,1,-6.26427529276075,-6.15497312007335,-6.03539245897328
183,0,5,0,2,-6.25854142466941,-6.13830903471328,-5.95253049570766
184,0,5,0,3,-6.25288063023291,-6.12171802300804,-5.8583600822877
185,0,5,0,4,-6.24710098268,-6.10500815818638,-5.7525954881745
186,0,5,0,5,-6.24138387310606,-6.08836083134371,-5.63532326704545
187,0,5,1,0,-6.29459366195526,-6.18529148926787,-6.0657108281678
188,0,5,1,1,-6.3254481484472,-6.20521575849106,-6.01943721948545
189,0,5,1,2,-6.32332485410864,-6.19216224688376,-5.92880430616343
190,0,5,1,3,-6.32844011742751,-6.18634729293389,-5.83393462292201
191,0,5,1,4,-6.32381379833645,-6.17079075657409,-5.71775319227584
192,0,5,1,5,-6.32149133654185,-6.15753807751076,-5.59220956858605
193,0,5,2,0,-6.30518263832817,-6.18495024837204,-5.99917170936643
194,0,5,2,1,-6.31979846713505,-6.18863585991018,-5.92527791918984
195,0,5,2,2,-6.31767513222553,-6.17558230773191,-5.82316963772003
196,0,5,2,3,-6.32279039355146,-6.16976735178911,-5.71672978749085
197,0,5,2,4,-6.31816409027767,-6.15421083124658,-5.58888232232187
198,0,5,2,5,-6.31825555922901,-6.14337208292918,-5.45398963125117
199,0,5,3,0,-6.31197837459128,-6.1808157673664,-5.91745782664607
200,0,5,3,1,-6.31449239346395,-6.17239956897034,-5.81998689895846
201,0,5,3,2,-6.31251168644826,-6.1594886446859,-5.70645108038765
202,0,5,3,3,-6.32321432717064,-6.15926106813955,-5.59393255921484
203,0,5,3,4,-6.31652211142562,-6.14163863512579,-5.45225618344778
204,0,5,3,5,-6.31691947304503,-6.13110577947646,-5.30580836193392
205,0,5,4,0,-6.32516221835156,-6.18306939385795,-5.83065672384607
206,0,5,4,1,-6.30918146394174,-6.15615842217938,-5.70312085788113
207,0,5,4,2,-6.30971018533441,-6.14575692630331,-5.5804284173786
208,0,5,4,3,-6.31756460689208,-6.14268113059225,-5.45329867891424
209,0,5,4,4,-6.31254737238484,-6.12673367881627,-5.30143626127373
210,0,5,4,5,-6.31234308359165,-6.11559917275433,-5.14242664905126
211,0,5,5,0,-6.31842901140982,-6.16540596964747,-5.71236840534921
212,0,5,5,1,-6.30353178442743,-6.13957852539634,-5.57425001647163
213,0,5,5,2,-6.30406045837509,-6.12917698207526,-5.43979453039726
214,0,5,5,3,-6.31191488641775,-6.12610119284918,-5.30080377530664
215,0,5,5,4,-6.30689765467627,-6.11015374383896,-5.13698122013588
216,0,5,5,5,-6.30804050504817,-6.10036637694212,-4.96725838214315
217,1,0,0,0,-6.30804050504817,-6.10036637694212,-4.96725838214315
218,1,0,0,1,-6.30804050504817,-6.10036637694212,-4.96725838214315
219,1,0,0,2,-6.26646898191111,-6.18995746102993,-6.20160411704625
220,1,0,0,3,-6.2609728299537,-6.17353109180378,-6.15257174594286
221,1,0,0,4,-6.25536296938445,-6.15699101396579,-6.09231949112358
222,1,0,0,5,-6.25001623148149,-6.1407140587941,-6.02113339769403
223,1,0,1,0,-6.32481254959353,-6.2592312459811,-6.29246753611645
224,1,0,1,1,-6.35171299186001,-6.27520147097883,-6.28684812699514
225,1,0,1,2,-6.35226923343274,-6.26482749528282,-6.2438681494219
226,1,0,1,3,-6.34163582746948,-6.24326387205082,-6.17859234920861
227,1,0,1,4,-6.33113732230181,-6.22183514961441,-6.10225448851434
228,1,0,1,5,-6.32882558994469,-6.20859319998856,-6.02281466098294
229,1,0,2,0,-6.33378431831811,-6.25727279743693,-6.26891945345324
230,1,0,2,1,-6.34662713146243,-6.25918539331252,-6.23822604745159
231,1,0,2,2,-6.34661951861399,-6.24824756319533,-6.18357604035312
232,1,0,2,3,-6.33598591945461,-6.22668374676721,-6.10710308566714
233,1,0,2,4,-6.32921994435747,-6.20898755440134,-6.02320901539572
234,1,0,2,5,-6.32474427371735,-6.19358166649247,-5.93022372577214
235,1,0,3,0,-6.32554739789941,-6.23810565974949,-6.21714631388857
236,1,0,3,1,-6.33305179106423,-6.23467983564557,-6.17000831280336
237,1,0,3,2,-6.33106958182999,-6.2217674091426,-6.10218674804253
238,1,0,3,3,-6.33033625368466,-6.21010386372853,-6.02432532472292
239,1,0,3,4,-6.3263574553998,-6.19519484817493,-5.93183690745459
240,1,0,3,5,-6.32303634400858,-6.18094351951497,-5.82853084950308
241,1,0,4,0,-6.33872545101948,-6.24035349560083,-6.17568197275861
242,1,0,4,1,-6.31611153783329,-6.2068093651459,-6.08722870404583
243,1,0,4,2,-6.31572320162234,-6.1954908116662,-6.00971227266059
244,1,0,4,3,-6.32294265867957,-6.1917800514547,-5.92842211073437
245,1,0,4,4,-6.32077086450903,-6.17867804001541,-5.82626537000353
246,1,0,4,5,-6.31829407592754,-6.16527103416519,-5.71223346986694
247,1,0,5,0,-6.3338130256898,-6.22451085300241,-6.10493019190234
248,1,0,5,1,-6.31073756672584,-6.19050517676971,-6.00472663776409
249,1,0,5,2,-6.309251983483,-6.17808937625813,-5.9147314355378
250,1,0,5,3,-6.31589389014317,-6.17380106564956,-5.82138839563767
251,1,0,5,4,-6.31347334839796,-6.16045030663561,-5.70741274233735
252,1,0,5,5,-6.31264440825061,-6.14869114921952,-5.58336264029481
253,1,1,0,0,-6.31264440825061,-6.14869114921952,-5.58336264029481
254,1,1,0,1,-6.31264440825061,-6.14869114921952,-5.58336264029481
255,1,1,0,2,-6.31264440825061,-6.14869114921952,-5.58336264029481
256,1,1,0,3,-6.31264440825061,-6.14869114921952,-5.58336264029481
257,1,1,0,4,-6.31264440825061,-6.14869114921952,-5.58336264029481
258,1,1,0,5,-6.31264440825061,-6.14869114921952,-5.58336264029481
259,1,1,1,0,-6.31264440825061,-6.14869114921952,-5.58336264029481
260,1,1,1,1,-6.31264440825061,-6.14869114921952,-5.58336264029481
261,1,1,1,2,-6.31264440825061,-6.14869114921952,-5.58336264029481
262,1,1,1,3,-6.31264440825061,-6.14869114921952,-5.58336264029481
263,1,1,1,4,-6.31264440825061,-6.14869114921952,-5.58336264029481
264,1,1,1,5,-6.31264440825061,-6.14869114921952,-5.58336264029481
265,1,1,2,0,-6.31264440825061,-6.14869114921952,-5.58336264029481
