,p,q,P,Q,AIC,BIC,AICc
87,0,2,2,2,-6.17558317482445,-6.06628100213706,-5.94670034103699
88,0,2,2,3,-6.14977852661988,-6.02954613666375,-5.84376759765813
89,0,2,2,4,-6.14246597613215,-6.01130336890728,-5.74794542818695
90,0,2,2,5,-6.13947079352579,-5.99737796903218,-5.6449652990203
91,0,2,3,0,-6.10849756769963,-6.01012561228098,-5.94545408943877
92,0,2,3,1,-6.1515522230529,-6.0422500503655,-5.92266938926543
93,0,2,3,2,-6.14857369422652,-6.02834130427039,-5.84256276526477
94,0,2,3,3,-6.14710322737005,-6.01594062014517,-5.75258267942484
95,0,2,3,4,-6.14382163150791,-6.00172880701429,-5.64931613700241
96,0,2,3,5,-6.13819437098057,-5.98517132921821,-5.53213376491996
97,0,2,4,0,-6.12731154731199,-6.0180093746246,-5.89842871352453
98,0,2,4,1,-6.1426281637413,-6.02239577378517,-5.83661723477955
99,0,2,4,2,-6.14015943747167,-6.0089968302468,-5.74563888952647
100,0,2,4,3,-6.1432772615913,-6.00118443709768,-5.6487717670858
101,0,2,4,4,-6.14075789247866,-5.98773485071631,-5.53469728641806
102,0,2,4,5,-6.13635645508132,-5.97240319605023,-5.40707468712552
103,0,2,5,0,-6.1119720347841,-5.99173964482797,-5.80596110582236
104,0,2,5,1,-6.13408268937164,-6.00292008214677,-5.73956214142643
105,0,2,5,2,-6.13135847151244,-5.98926564701882,-5.63685297700694
106,0,2,5,3,-6.13242272309434,-5.97939968133199,-5.52636211703374
107,0,2,5,4,-6.12724112112379,-5.9632878620927,-5.39795935316799
108,0,2,5,5,-6.13070675166703,-5.95582327536719,-5.26644082368919
109,0,3,0,0,-6.13070675166703,-5.95582327536719,-5.26644082368919
110,0,3,0,1,-6.04907019452842,-5.9616284563785,-5.94066911051758
111,0,3,0,2,-6.04328868101661,-5.94491672559795,-5.88024520275574
112,0,3,0,3,-6.03745991441394,-5.92815774172654,-5.80857708062647
113,0,3,0,4,-6.03183466915183,-5.91160227919569,-5.72582374019008
114,0,3,0,5,-6.026576044403,-5.89541343717813,-5.6320554964578
115,0,3,1,0,-6.04155123990475,-5.95410950175484,-5.93315015589391
116,0,3,1,1,-6.1616477312923,-6.06327577587364,-5.99860425303143
117,0,3,1,2,-6.15791953482729,-6.0486173621399,-5.92903670103982
118,0,3,1,3,-6.15417983685716,-6.03394744690103,-5.84816890789541
119,0,3,1,4,-6.14492816320527,-6.0137655559804,-5.75040761526007
120,0,3,1,5,-6.14555033926605,-6.00345751477243,-5.65104484476055
121,0,3,2,0,-6.10060778186156,-6.0022358264429,-5.93756430360069
122,0,3,2,1,-6.15691346252013,-6.04761128983273,-5.92803062873266
123,0,3,2,2,-6.15461532918851,-6.03438293923238,-5.84860440022676
124,0,3,2,3,-6.15085256650618,-6.0196899592813,-5.75633201856097
125,0,3,2,4,-6.1455958313693,-6.00350300687568,-5.6510903368638
126,0,3,2,5,-6.13990061897247,-5.98687757721012,-5.53384001291187
127,0,3,3,0,-6.10326638937757,-5.99396421669018,-5.8743835555901
128,0,3,3,1,-6.15129195482953,-6.0310595648734,-5.84528102586778
129,0,3,3,2,-6.14896532365971,-6.01780271643483,-5.7544447757145
130,0,3,3,3,-6.14743045664043,-6.00533763214681,-5.65292496213493
131,0,3,3,4,-6.14396994320098,-5.99094690143863,-5.53790933714038
