,p,q,P,Q,AIC,BIC,AICc
102,0,2,4,5,-5.91232272623502,-5.74802521673361,-5.18304095827922
103,0,2,5,0,-5.93588628502462,-5.81540144472358,-5.62987535606287
104,0,2,5,1,-5.93022056305859,-5.79878255545746,-5.53570001511338
105,0,2,5,2,-5.92455484022465,-5.78216366532343,-5.43004934571916
106,0,2,5,3,-5.92011049900844,-5.76676615680712,-5.31404989294784
107,0,2,5,4,-5.91754028703633,-5.75324277753492,-5.18825851908053
108,0,2,5,5,-5.91563438061318,-5.74038370381167,-5.05136845263534
109,0,3,0,0,-5.91563438061318,-5.74038370381167,-5.05136845263534
110,0,3,0,1,-5.91012565516465,-5.8225003167639,-5.80172457115381
111,0,3,0,2,-5.90438506260537,-5.80580655690452,-5.7413415843445
112,0,3,0,3,-5.89861913084384,-5.7890874578429,-5.66973629705637
113,0,3,0,4,-5.8932462462861,-5.77276140598506,-5.58723531732435
114,0,3,0,5,-5.88766115731643,-5.7562231497153,-5.49314060937122
115,0,3,1,0,-5.91444450354328,-5.82681916514253,-5.80604341953244
116,0,3,1,1,-5.93572504449275,-5.8371465387919,-5.77268156623188
117,0,3,1,2,-5.93005929121564,-5.8205276182147,-5.70117645742818
118,0,3,1,3,-5.92439352031131,-5.80390868001027,-5.61838259134956
119,0,3,1,4,-5.91797536614699,-5.78653735854585,-5.52345481820178
120,0,3,1,5,-5.91353042832033,-5.77113925341911,-5.41902493381484
121,0,3,2,0,-5.92640910115077,-5.82783059544992,-5.7633656228899
122,0,3,2,1,-5.93278858615897,-5.82325691315803,-5.7039057523715
123,0,3,2,2,-5.92936308087942,-5.80887824057838,-5.62335215191767
124,0,3,2,3,-5.92608496436507,-5.79464695676394,-5.53156441641986
125,0,3,2,4,-5.9200753002033,-5.77768412530207,-5.4255698056978
126,0,3,2,5,-5.91372782930829,-5.76038348710697,-5.30766722324768
127,0,3,3,0,-5.92130610915304,-5.8117744361521,-5.69242327536557
128,0,3,3,1,-5.92712285907078,-5.80663801876975,-5.62111193010904
129,0,3,3,2,-5.92391403058825,-5.79247602298712,-5.52939348264305
130,0,3,3,3,-5.92041925044128,-5.77802807554005,-5.42591375593578
131,0,3,3,4,-5.91440956352557,-5.76106522132425,-5.30834895746497
132,0,3,3,5,-5.90806213416939,-5.74376462466797,-5.17878036621359
133,0,3,4,0,-5.92617850499533,-5.80569366469429,-5.62016757603358
134,0,3,4,1,-5.9253973522804,-5.79395934467927,-5.53087680433519
135,0,3,4,2,-5.91973162992629,-5.77734045502507,-5.4252261354208
136,0,3,4,3,-5.91531012521235,-5.76196578301103,-5.30924951915174
137,0,3,4,4,-5.91019754481552,-5.7459000353141,-5.18091577685971
138,0,3,4,5,-5.90735703042834,-5.73210635362683,-5.0430911024505
139,0,3,5,0,-5.93075372110088,-5.79931571349975,-5.53623317315567
140,0,3,5,1,-5.92508800101989,-5.78269682611867,-5.4305825065144
141,0,3,5,2,-5.91942227806887,-5.76607793586755,-5.31336167200826
142,0,3,5,3,-5.91480331587087,-5.75050580636946,-5.18552154791507
143,0,3,5,4,-5.91249090389732,-5.73724022709581,-5.04822497591948
144,0,3,5,5,-5.91156223570613,-5.72535839160452,-4.90045112459501
145,0,4,0,0,-5.91156223570613,-5.72535839160452,-4.90045112459501
146,0,4,0,1,-5.90549423085578,-5.80691572515493,-5.74245075259491
147,0,4,0,2,-5.90549423085578,-5.80691572515493,-5.74245075259491
148,0,4,0,3,-5.89404859083413,-5.77356375053309,-5.58803766187238
149,0,4,0,4,-5.88846864733544,-5.7570306397343,-5.49394809939023
150,0,4,0,5,-5.88287439400941,-5.74048321910819,-5.38836889950392
151,0,4,1,0,-5.90951508130719,-5.81093657560634,-5.74647160304632
152,0,4,1,1,-5.92924933019395,-5.819717657193,-5.70036649640648
153,0,4,1,2,-5.92358351087292,-5.80309867057188,-5.61757258191117
154,0,4,1,3,-5.91791786718249,-5.78647985958136,-5.52339731923728
155,0,4,1,4,-5.9126983570386,-5.77030718213737,-5.4181928625331
156,0,4,1,5,-5.90824328428602,-5.7548989420847,-5.30218267822542
157,0,4,2,0,-5.92257075904503,-5.81303908604409,-5.69368792525757
158,0,4,2,1,-5.92544370649934,-5.8049588661983,-5.61943277753759
159,0,4,2,2,-5.92362493414401,-5.79218692654288,-5.52910438619881
