,p,q,P,Q,AIC,BIC,AICc
247,1,0,5,0,-5.68482369321922,-5.57552152053183,-5.45594085943176
248,1,0,5,1,-5.67717893954126,-5.55694654958512,-5.37116801057951
249,1,0,5,2,-5.67274649205466,-5.54158388482979,-5.27822594410946
250,1,0,5,3,-5.67286528500463,-5.53077246051101,-5.17835979049913
251,1,0,5,4,-5.67191700538276,-5.51889396362041,-5.06585639932215
252,1,0,5,5,-5.66626728713338,-5.50231402810229,-4.93698551917758
253,1,1,0,0,-5.66626728713338,-5.50231402810229,-4.93698551917758
254,1,1,0,1,-5.65344545660877,-5.5769339357276,-5.58858059174391
255,1,1,0,2,-5.64780464613762,-5.5603629079877,-5.53940356212678
256,1,1,0,3,-5.6329577249664,-5.53458576954775,-5.46991424670553
257,1,1,0,4,-5.62736584112373,-5.51806366843634,-5.39848300733627
258,1,1,0,5,-5.62186192783077,-5.50162953787464,-5.31585099886902
259,1,1,1,0,-5.67157807151613,-5.59506655063495,-5.60671320665126
260,1,1,1,1,-5.70490103370067,-5.61745929555075,-5.59649994968983
261,1,1,1,2,-5.69884548431047,-5.60047352889182,-5.53580200604961
262,1,1,1,3,-5.68678237372346,-5.57748020103607,-5.457899539936
263,1,1,1,4,-5.67909050358022,-5.55885811362408,-5.37307957461847
264,1,1,1,5,-5.67508210239119,-5.54391949516632,-5.28056155444599
265,1,1,2,0,-5.68965327691181,-5.60221153876189,-5.58125219290097
266,1,1,2,1,-5.69717827680427,-5.59880632138562,-5.53413479854341
267,1,1,2,2,-5.69319585460754,-5.58389368192015,-5.46431302082008
268,1,1,2,3,-5.68278938375416,-5.56255699379803,-5.37677845479241
269,1,1,2,4,-5.68091335760198,-5.54975075037711,-5.28639280965677
270,1,1,2,5,-5.67316149999983,-5.53106867550621,-5.17865600549433
271,1,1,3,0,-5.67081858619693,-5.57244663077827,-5.50777510793606
272,1,1,3,1,-5.68230713256012,-5.57300495987273,-5.45342429877266
273,1,1,3,2,-5.67833095261066,-5.55809856265453,-5.37232002364892
274,1,1,3,3,-5.67713963771401,-5.54597703048913,-5.2826190897688
275,1,1,3,4,-5.67481320731663,-5.53272038282302,-5.18030771281114
276,1,1,3,5,-5.68025528581206,-5.52723224404971,-5.07419467975146
277,1,1,4,0,-5.67198073790446,-5.56267856521707,-5.44309790411699
278,1,1,4,1,-5.67416711071146,-5.55393472075533,-5.36815618174971
279,1,1,4,2,-5.67169343298755,-5.54053082576267,-5.27717288504234
280,1,1,4,3,-5.67113075135429,-5.52903792686068,-5.17662525684879
281,1,1,4,4,-5.6842323288997,-5.53120928713735,-5.0781717228391
282,1,1,4,5,-5.66438883242245,-5.50043557339136,-4.93510706446665
283,1,1,5,0,-5.67503826020052,-5.55480587024439,-5.36902733123877
284,1,1,5,1,-5.66915066056795,-5.53798805334308,-5.27463011262275
285,1,1,5,2,-5.66438165299704,-5.52228882850343,-5.16987615849155
286,1,1,5,3,-5.66345440658295,-5.5104313648206,-5.05739380052234
287,1,1,5,4,-5.66308828726829,-5.4991350282372,-4.93380651931249
288,1,1,5,5,-5.66117707173877,-5.48629359543894,-4.79691114376093
289,1,2,0,0,-5.66117707173877,-5.48629359543894,-4.79691114376093
290,1,2,0,1,-5.66117707173877,-5.48629359543894,-4.79691114376093
291,1,2,0,2,-5.66117707173877,-5.48629359543894,-4.79691114376093
292,1,2,0,3,-5.63875542796979,-5.52945325528239,-5.40987259418232
293,1,2,0,4,-5.63383319874033,-5.5136008087842,-5.32782226977859
294,1,2,0,5,-5.62821440071034,-5.49705179348547,-5.23369385276514
295,1,2,1,0,-5.67394994650698,-5.58650820835707,-5.56554886249614
296,1,2,1,1,-5.70780025766642,-5.60942830224777,-5.54475677940555
297,1,2,1,2,-5.70452687384091,-5.59522470115351,-5.47564404005344
298,1,2,1,3,-5.69483074831715,-5.57459835836101,-5.3888198193554
299,1,2,1,4,-5.68731554832697,-5.5561529411021,-5.29279500038177
300,1,2,1,5,-5.68328613436291,-5.54119330986929,-5.18878063985741
301,1,2,2,0,-5.67750399962203,-5.57913204420338,-5.51446052136116
302,1,2,2,1,-5.70215053136361,-5.59284835867622,-5.47326769757615
303,1,2,2,2,-5.69887715251083,-5.5786447625547,-5.39286622354908
304,1,2,2,3,-5.68968037724593,-5.55851777002106,-5.29515982930072
305,1,2,2,4,-5.68573567095578,-5.54364284646217,-5.19123017645029
306,1,2,2,5,-5.67942955178545,-5.5264065100231,-5.07336894572485
307,1,2,3,0,-5.67379827322549,-5.56449610053809,-5.44491543943802
308,1,2,3,1,-5.68797793405757,-5.56774554410144,-5.38196700509582
309,1,2,3,2,-5.68381846692697,-5.5526558597021,-5.28929791898177
310,1,2,3,3,-5.6840306587467,-5.54193783425309,-5.18952516424121
311,1,2,3,4,-5.68008595395396,-5.52706291219161,-5.07402534789336
312,1,2,3,5,-5.67377979439338,-5.50982653536228,-4.94449802643757
313,1,2,4,0,-5.68030094120088,-5.56006855124475,-5.37429001223913
314,1,2,4,1,-5.68154613110123,-5.55038352387636,-5.28702558315603
315,1,2,4,2,-5.67785694911666,-5.53576412462305,-5.18335145461117
316,1,2,4,3,-5.6778703458275,-5.52484730406515,-5.07180973976689
317,1,2,4,4,-5.67726092599934,-5.51330766696825,-4.94797915804354
